"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4630","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","2.249826","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","1","1","2.817935","0","26"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","2","1","3.657182","0","25"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","1","1","2.677880","0","17"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","10","6","30.960423","5","351"
"/Water/Materials/WaterSurface/Water_Material.Water_Material","0","424","11","4","1143.740845","106","8980"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","12.107676","0","94"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","1","1","2.688464","0","19"
"/Water/Materials/WaterInfo/DrawWaterInfo.DrawWaterInfo","0","8","1","1","5.076391","0","43"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","1","1","4.373066","0","46"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","2.195859","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","1","1","3.571517","0","25"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","1","1","3.046037","0","24"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","2","1","10.871537","0","85"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","114.167480","0","3173"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","6.756749","0","70"
